*******************************************************************************
Ephemeris / WWW_USER Tue Aug 25 13:12:44 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Dec-31 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : BOTH
EOP file        : eop.200824.p201115                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-AUG-24. PREDICTS-> 2020-NOV-14
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*************************************************************************************************************
 Date__(UT)__HR:MN Date_________JDUT     R.A._____(ICRF)_____DEC   APmag   S-brt            delta      deldot
*************************************************************************************************************
$$SOE
 2020-Jan-01 00:00 2458849.500000000     18 42 23.36 -23 04 45.4 -26.779 -10.589 0.98329304255144  -0.0383544
 2020-Jan-02 00:00 2458850.500000000     18 46 48.44 -23 00 03.2 -26.779 -10.589 0.98327324010849  -0.0301546
 2020-Jan-03 00:00 2458851.500000000     18 51 13.18 -22 54 53.4 -26.779 -10.589 0.98325828736668  -0.0215587
 2020-Jan-04 00:00 2458852.500000000     18 55 37.56 -22 49 16.3 -26.779 -10.589 0.98324841559882  -0.0125583
 2020-Jan-05 00:00 2458853.500000000     19 00 01.54 -22 43 11.9 -26.779 -10.589 0.98324386059688  -0.0031462
 2020-Jan-06 00:00 2458854.500000000     19 04 25.09 -22 36 40.5 -26.779 -10.589 0.98324486133331   0.0066808
 2020-Jan-07 00:00 2458855.500000000     19 08 48.19 -22 29 42.3 -26.779 -10.589 0.98325165668275   0.0169181
 2020-Jan-08 00:00 2458856.500000000     19 13 10.82 -22 22 17.4 -26.779 -10.589 0.98326447862364   0.0275452
 2020-Jan-09 00:00 2458857.500000000     19 17 32.94 -22 14 26.2 -26.779 -10.589 0.98328354067855   0.0385171
 2020-Jan-10 00:00 2458858.500000000     19 21 54.53 -22 06 08.7 -26.779 -10.589 0.98330902131666   0.0497563
 2020-Jan-11 00:00 2458859.500000000     19 26 15.58 -21 57 25.4 -26.779 -10.589 0.98334104375995   0.0611489
 2020-Jan-12 00:00 2458860.500000000     19 30 36.07 -21 48 16.3 -26.779 -10.589 0.98337965576189   0.0725489
 2020-Jan-13 00:00 2458861.500000000     19 34 55.98 -21 38 41.9 -26.778 -10.589 0.98342481447145   0.0837916
 2020-Jan-14 00:00 2458862.500000000     19 39 15.28 -21 28 42.3 -26.778 -10.589 0.98347638123338   0.0947135
 2020-Jan-15 00:00 2458863.500000000     19 43 33.98 -21 18 17.8 -26.778 -10.589 0.98353412866183   0.1051741
 2020-Jan-16 00:00 2458864.500000000     19 47 52.04 -21 07 28.7 -26.778 -10.589 0.98359775861191   0.1150708
 2020-Jan-17 00:00 2458865.500000000     19 52 09.45 -20 56 15.3 -26.778 -10.589 0.98366692674161   0.1243466
 2020-Jan-18 00:00 2458866.500000000     19 56 26.20 -20 44 37.9 -26.778 -10.589 0.98374126857299   0.1329880
 2020-Jan-19 00:00 2458867.500000000     20 00 42.26 -20 32 36.8 -26.778 -10.589 0.98382042316521   0.1410195
 2020-Jan-20 00:00 2458868.500000000     20 04 57.63 -20 20 12.4 -26.777 -10.589 0.98390405248431   0.1484946
 2020-Jan-21 00:00 2458869.500000000     20 09 12.28 -20 07 25.0 -26.777 -10.589 0.98399185613475   0.1554888
 2020-Jan-22 00:00 2458870.500000000     20 13 26.20 -19 54 14.8 -26.777 -10.589 0.98408358184139   0.1620923
 2020-Jan-23 00:00 2458871.500000000     20 17 39.37 -19 40 42.4 -26.777 -10.589 0.98417903211085   0.1684035
 2020-Jan-24 00:00 2458872.500000000     20 21 51.77 -19 26 47.9 -26.777 -10.589 0.98427806729181   0.1745232
 2020-Jan-25 00:00 2458873.500000000     20 26 03.41 -19 12 31.9 -26.776 -10.589 0.98438060516826   0.1805486
 2020-Jan-26 00:00 2458874.500000000     20 30 14.25 -18 57 54.6 -26.776 -10.589 0.98448661740541   0.1865685
 2020-Jan-27 00:00 2458875.500000000     20 34 24.29 -18 42 56.5 -26.776 -10.589 0.98459612354408   0.1926594
 2020-Jan-28 00:00 2458876.500000000     20 38 33.52 -18 27 38.0 -26.776 -10.589 0.98470918359784   0.1988848
 2020-Jan-29 00:00 2458877.500000000     20 42 41.93 -18 11 59.4 -26.775 -10.589 0.98482589045888   0.2052955
 2020-Jan-30 00:00 2458878.500000000     20 46 49.52 -17 56 01.2 -26.775 -10.589 0.98494636319281   0.2119317
 2020-Jan-31 00:00 2458879.500000000     20 50 56.27 -17 39 43.7 -26.775 -10.589 0.98507074195367   0.2188268
 2020-Feb-01 00:00 2458880.500000000     20 55 02.20 -17 23 07.4 -26.775 -10.589 0.98519918478662   0.2260100
 2020-Feb-02 00:00 2458881.500000000     20 59 07.28 -17 06 12.7 -26.774 -10.589 0.98533186609604   0.2335089
 2020-Feb-03 00:00 2458882.500000000     21 03 11.53 -16 48 59.9 -26.774 -10.589 0.98546897607102   0.2413504
 2020-Feb-04 00:00 2458883.500000000     21 07 14.95 -16 31 29.6 -26.774 -10.589 0.98561071986488   0.2495590
 2020-Feb-05 00:00 2458884.500000000     21 11 17.54 -16 13 42.1 -26.773 -10.589 0.98575731482230   0.2581513
 2020-Feb-06 00:00 2458885.500000000     21 15 19.29 -15 55 37.8 -26.773 -10.589 0.98590898365009   0.2671274
 2020-Feb-07 00:00 2458886.500000000     21 19 20.23 -15 37 17.2 -26.773 -10.589 0.98606594144569   0.2764587
 2020-Feb-08 00:00 2458887.500000000     21 23 20.35 -15 18 40.6 -26.772 -10.589 0.98622837545293   0.2860755
 2020-Feb-09 00:00 2458888.500000000     21 27 19.67 -14 59 48.5 -26.772 -10.589 0.98639641875068   0.2958594
 2020-Feb-10 00:00 2458889.500000000     21 31 18.19 -14 40 41.3 -26.771 -10.589 0.98657012252478   0.3056469
 2020-Feb-11 00:00 2458890.500000000     21 35 15.94 -14 21 19.3 -26.771 -10.589 0.98674943452261   0.3152476
 2020-Feb-12 00:00 2458891.500000000     21 39 12.92 -14 01 42.9 -26.771 -10.589 0.98693419131786   0.3244721
 2020-Feb-13 00:00 2458892.500000000     21 43 09.15 -13 41 52.6 -26.770 -10.589 0.98712412793572   0.3331623
 2020-Feb-14 00:00 2458893.500000000     21 47 04.65 -13 21 48.8 -26.770 -10.589 0.98731890208920   0.3412108
 2020-Feb-15 00:00 2458894.500000000     21 50 59.41 -13 01 31.7 -26.769 -10.589 0.98751812561041   0.3485659
 2020-Feb-16 00:00 2458895.500000000     21 54 53.46 -12 41 02.0 -26.769 -10.589 0.98772139508781   0.3552246
 2020-Feb-17 00:00 2458896.500000000     21 58 46.81 -12 20 19.8 -26.768 -10.589 0.98792831650501   0.3612201
 2020-Feb-18 00:00 2458897.500000000     22 02 39.46 -11 59 25.8 -26.768 -10.589 0.98813852230709   0.3666089
 2020-Feb-19 00:00 2458898.500000000     22 06 31.43 -11 38 20.2 -26.768 -10.589 0.98835168185415   0.3714610
 2020-Feb-20 00:00 2458899.500000000     22 10 22.73 -11 17 03.5 -26.767 -10.589 0.98856750717573   0.3758534
 2020-Feb-21 00:00 2458900.500000000     22 14 13.37 -10 55 36.1 -26.767 -10.589 0.98878575577934   0.3798661
 2020-Feb-22 00:00 2458901.500000000     22 18 03.36 -10 33 58.4 -26.766 -10.589 0.98900623165044   0.3835796
 2020-Feb-23 00:00 2458902.500000000     22 21 52.71 -10 12 10.9 -26.766 -10.589 0.98922878498246   0.3870731
 2020-Feb-24 00:00 2458903.500000000     22 25 41.43 -09 50 14.0 -26.765 -10.589 0.98945331081283   0.3904225
 2020-Feb-25 00:00 2458904.500000000     22 29 29.54 -09 28 08.1 -26.765 -10.589 0.98967974665387   0.3936987
 2020-Feb-26 00:00 2458905.500000000     22 33 17.05 -09 05 53.7 -26.764 -10.589 0.98990806931811   0.3969667
 2020-Feb-27 00:00 2458906.500000000     22 37 03.98 -08 43 31.0 -26.764 -10.589 0.99013829132129   0.4002852
 2020-Feb-28 00:00 2458907.500000000     22 40 50.33 -08 21 00.7 -26.763 -10.589 0.99037045738117   0.4037072
 2020-Feb-29 00:00 2458908.500000000     22 44 36.12 -07 58 23.0 -26.763 -10.589 0.99060464153661   0.4072816
 2020-Mar-01 00:00 2458909.500000000     22 48 21.38 -07 35 38.5 -26.762 -10.589 0.99084094526011   0.4110548
 2020-Mar-02 00:00 2458910.500000000     22 52 06.11 -07 12 47.4 -26.762 -10.589 0.99107949663164   0.4150726
 2020-Mar-03 00:00 2458911.500000000     22 55 50.33 -06 49 50.3 -26.761 -10.589 0.99132045018849   0.4193809
 2020-Mar-04 00:00 2458912.500000000     22 59 34.06 -06 26 47.5 -26.761 -10.589 0.99156398646587   0.4240233
 2020-Mar-05 00:00 2458913.500000000     23 03 17.32 -06 03 39.5 -26.760 -10.589 0.99181030952069   0.4290362
 2020-Mar-06 00:00 2458914.500000000     23 07 00.14 -05 40 26.5 -26.759 -10.589 0.99205964003350   0.4344389
 2020-Mar-07 00:00 2458915.500000000     23 10 42.52 -05 17 09.1 -26.759 -10.589 0.99231220131547   0.4402185
 2020-Mar-08 00:00 2458916.500000000     23 14 24.49 -04 53 47.6 -26.758 -10.589 0.99256819643299   0.4463153
 2020-Mar-09 00:00 2458917.500000000     23 18 06.09 -04 30 22.3 -26.758 -10.589 0.99282777742571   0.4526116
 2020-Mar-10 00:00 2458918.500000000     23 21 47.32 -04 06 53.6 -26.757 -10.589 0.99309101204313   0.4589351
 2020-Mar-11 00:00 2458919.500000000     23 25 28.22 -03 43 21.9 -26.757 -10.589 0.99335785744691   0.4650801
 2020-Mar-12 00:00 2458920.500000000     23 29 08.82 -03 19 47.5 -26.756 -10.589 0.99362815048421   0.4708419
