Motion Through Fluids Experiment Thu, Oct 29, 2020 10:20 AM
Time(sec)	Position(mm)
0.001	0.000
0.101	0.000
0.151	0.000
0.201	0.000
0.252	0.000
0.301	0.000
0.351	0.000
0.401	0.000
0.451	0.000
0.501	0.000
0.551	0.000
0.601	0.000
0.652	0.000
0.701	0.000
0.751	0.000
0.801	0.000
0.851	0.000
0.901	0.000
0.951	0.000
1.001	0.000
1.051	0.000
1.101	0.000
1.151	1.222
1.202	1.768
1.251	2.315
1.301	3.409
1.351	3.955
1.401	4.502
1.451	5.595
1.502	6.142
1.551	7.236
1.601	7.782
1.651	8.876
1.701	9.423
1.751	9.969
1.802	11.063
1.851	11.610
1.901	12.156
1.951	13.250
2.001	13.797
2.052	14.343
2.101	15.437
2.151	15.984
2.202	16.530
2.251	17.624
2.301	18.171
2.351	18.717
2.402	19.264
2.451	19.811
2.501	20.358
2.551	21.451
2.601	21.998
2.651	22.545
2.701	23.091
2.751	23.638
2.801	24.185
2.851	24.732
2.901	25.278
2.951	25.825
3.001	26.372
3.051	26.918
3.101	27.465
3.151	28.012
3.202	28.559
3.251	29.105
3.301	29.652
3.351	29.652
3.401	30.199
3.452	30.746
3.501	31.292
3.551	31.839
3.601	32.386
3.651	32.386
3.701	32.933
3.751	33.479
3.801	34.026
3.851	34.573
3.901	35.120
3.951	35.666
4.001	35.666
4.051	36.213
4.101	36.760
4.151	36.760
4.201	37.307
4.251	37.853
4.301	37.853
4.351	38.400
4.401	38.947
4.451	39.494
4.501	40.040
4.551	40.040
4.601	40.587
4.651	41.134
4.701	41.134
4.751	41.681
4.801	42.227
4.851	42.774
4.902	42.774
4.951	43.321
5.001	43.868
5.051	43.868
5.101	44.414
5.151	44.961
5.201	44.961
5.251	45.508
5.301	46.055
5.351	46.055
5.401	46.601
5.451	47.148
5.501	47.148
5.551	47.695
5.601	48.241
5.651	48.241
5.701	48.788
5.751	49.335
5.801	49.335
5.851	49.882
5.901	50.428
5.951	50.428
6.001	50.975
6.051	51.522
6.101	51.522
6.151	52.069
6.201	52.615
6.251	52.615
6.301	53.162
6.351	53.709
6.401	53.709
6.451	54.256
6.501	54.802
6.551	54.802
6.601	55.349
6.651	55.349
6.701	55.896
6.751	56.443
6.801	56.989
6.851	56.989
6.901	57.536
6.951	57.536
7.001	58.083
7.051	58.630
7.101	58.630
7.151	59.176
7.201	59.723
7.251	59.723
7.301	60.270
