Motion Through Fluids Experiment Thu, Oct 29, 2020 9:51 AM
Time(sec)	Position(mm)
0.042	0.000
0.092	0.000
0.142	0.000
0.192	0.000
0.242	0.000
0.292	0.000
0.342	0.000
0.392	0.000
0.442	0.000
0.492	0.000
0.542	0.000
0.592	2.315
0.642	5.595
0.692	8.876
0.742	12.156
0.792	15.984
0.842	19.264
0.892	23.091
0.942	26.372
0.992	30.199
1.042	33.479
1.092	37.307
1.142	41.134
1.192	44.414
1.242	48.241
1.292	50.975
1.342	54.802
1.392	58.630
1.442	61.910
1.492	65.737
1.542	69.564
1.592	72.845
1.642	76.672
1.692	80.499
1.742	84.327
1.792	87.607
1.842	91.434
1.892	95.261
1.942	98.542
1.992	102.369
2.042	106.196
2.092	110.024
2.142	113.851
2.192	117.131
2.242	120.958
2.293	124.239
2.342	128.066
2.392	131.893
2.442	135.720
2.492	139.548
2.542	142.828
2.592	146.655
2.642	150.483
2.692	154.310
2.743	158.137
2.792	161.417
2.842	165.245
2.892	169.072
2.942	172.899
2.992	176.179
3.042	180.007
3.092	183.834
3.142	187.114
3.192	190.942
3.243	194.769
3.292	198.596
3.342	202.423
3.392	205.704
3.442	209.531
3.492	213.358
3.542	217.185
3.592	220.466
3.642	224.293
3.692	228.120
3.742	231.947
3.792	235.775
3.842	239.055
3.892	242.882
3.942	246.709
3.992	250.537
4.042	254.364
4.092	0.000
4.142	0.000
4.192	0.000
4.242	0.000
4.292	0.000
4.342	0.000
4.392	0.000
4.442	0.000
4.492	0.000
4.542	0.000
4.592	0.000
4.642	0.000
4.692	0.000
4.742	0.000
4.792	0.000
4.842	0.000
4.892	0.000
