Motion Sensor Data File Sep 15, 2020 10:49 AM
Time (s)	Distance (cm)	Dist Error (cm)
0.000	28.759	0.239
0.100	30.649	0.239
0.200	30.329	0.239
0.300	28.027	0.239
0.400	25.373	0.239
0.500	24.210	0.239
0.600	25.559	0.239
0.700	28.584	0.239
0.800	31.571	0.239
0.900	31.380	0.239
1.000	29.319	0.239
1.100	26.217	0.239
1.200	24.255	0.239
1.300	24.356	0.239
1.400	26.848	0.239
1.500	29.599	0.239
1.600	30.865	0.239
1.700	29.832	0.239
1.800	27.427	0.239
1.900	25.086	0.239
2.000	24.560	0.239
2.100	26.416	0.239
2.200	29.050	0.239
2.300	30.773	0.239
2.400	30.397	0.239
2.500	28.078	0.239
2.600	25.380	0.239
2.700	24.106	0.239
2.800	25.170	0.239
2.900	27.835	0.239
3.000	30.537	0.239
3.100	31.090	0.239
3.200	29.644	0.239
3.300	26.882	0.239
3.400	24.679	0.239
3.500	24.643	0.239
3.600	26.847	0.239
3.700	29.537	0.239
3.800	30.795	0.239
3.900	29.758	0.239
4.000	27.159	0.239
4.100	24.780	0.239
4.200	24.267	0.239
4.300	26.251	0.239
4.400	29.100	0.239
4.500	31.322	0.239
4.600	31.015	0.239
4.700	28.485	0.239
4.800	25.525	0.239
4.900	24.160	0.239
5.000	25.135	0.239
5.100	27.743	0.239
5.200	30.175	0.239
5.300	30.733	0.239
5.400	29.075	0.239
5.500	26.322	0.239
5.600	24.433	0.239
5.700	24.904	0.239
5.800	27.186	0.239
5.900	29.863	0.239
6.000	31.138	0.239
6.100	29.881	0.239
6.200	27.231	0.239
6.300	24.796	0.239
6.400	24.222	0.239
6.500	25.893	0.239
6.600	28.695	0.239
6.700	30.895	0.239
6.800	30.468	0.239
6.900	28.479	0.239
7.000	25.803	0.239
7.100	24.473	0.239
7.200	25.237	0.239
7.300	27.785	0.239
