voltage(V),current(mA),Voltage Error (+/-),Current Error (+/-)
9.95,21.3,0.025,0.2
10.15,21.7,0.025,0.2
10.35,22.2,0.026,0.2
10.55,22.6,0.027,0.2
10.75,23,0.027,0.2
10.95,23.4,0.027,0.2
11.15,23.9,0.028,0.2
11.35,24.3,0.028,0.2
11.55,24.7,0.029,0.2
11.75,25.2,0.029,0.2
11.95,25.6,0.03,0.2
12.15,26,0.03,0.2
12.35,26.4,0.031,0.2
12.55,26.9,0.031,0.2
12.75,27.3,0.032,0.2
12.95,27.7,0.032,0.2
13.15,28.1,0.033,0.2
13.35,28.6,0.033,0.2
13.55,29,0.034,0.2
13.75,29.4,0.034,0.2
13.95,29.8,0.035,0.2
