Voltage(V),Current(mA),Voltage Error (+/-),Current Error (+/-)
9.96,1.6,0.025,0.01
10.17,1.63,0.025,0.01
10.36,1.66,0.026,0.01
10.56,1.69,0.027,0.01
10.76,1.72,0.027,0.01
10.96,1.76,0.027,0.01
11.16,1.79,0.028,0.01
11.36,1.82,0.028,0.01
11.56,1.85,0.029,0.01
11.75,1.88,0.029,0.01
11.96,1.92,0.03,0.01
12.15,1.95,0.03,0.01
12.36,1.98,0.031,0.01
12.56,2.01,0.031,0.02
12.75,2.05,0.032,0.02
12.95,2.08,0.032,0.02
13.15,2.11,0.033,0.02
13.35,2.14,0.033,0.02
13.56,2.17,0.034,0.02
13.76,2.21,0.034,0.02
13.95,2.24,0.035,0.02
