 Radioactive Decay Experiment Oct 12, 2018 3:08 PM
Sample Number	Number of Counts
1	0
2	1
3	1
4	0
5	0
6	0
7	0
8	2
9	1
10	0
11	0
12	0
13	0
14	1
15	0
16	1
17	1
18	0
19	0
20	0
21	1
22	0
23	0
24	1
25	1
26	0
27	0
28	0
29	0
30	0
31	2
32	0
33	2
34	0
35	0
36	0
37	1
38	0
39	1
40	0
41	0
42	1
43	0
44	0
45	0
46	0
47	1
48	0
49	2
50	0
51	0
52	1
53	0
54	0
55	0
56	1
57	0
58	0
59	0
60	1
61	0
62	0
63	0
64	1
65	0
66	0
67	0
68	1
69	1
70	0
71	1
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	1
80	0
81	0
82	0
83	0
84	1
85	1
86	0
87	0
88	0
89	0
90	0
91	0
92	3
93	0
94	2
95	0
96	0
97	1
98	0
99	0
100	0
101	0
102	0
103	1
104	1
105	1
106	1
107	0
108	1
109	1
110	0
111	0
112	0
113	1
114	0
115	0
116	1
117	0
118	0
119	0
120	0
121	1
122	0
123	0
124	0
125	1
126	1
127	0
128	1
129	1
130	0
131	0
132	0
133	0
134	0
135	1
136	2
137	0
138	0
139	0
140	2
141	2
142	0
143	0
144	0
145	0
146	0
147	0
148	1
149	0
150	1
151	0
152	2
153	0
154	0
155	1
156	2
157	0
158	0
159	0
160	1
161	1
162	1
163	0
164	0
165	0
166	0
167	1
168	0
169	1
170	2
171	1
172	0
173	1
174	1
175	1
176	1
177	0
178	0
179	0
180	0
181	0
182	1
183	3
184	1
185	0
186	0
187	0
188	1
189	1
190	0
191	1
192	1
193	0
194	1
195	0
196	1
197	0
198	1
199	1
200	1
201	0
202	1
203	0
204	1
205	1
206	0
207	0
208	0
209	1
210	1
211	0
212	1
213	0
214	0
215	2
216	0
217	0
218	0
219	0
220	1
221	0
222	1
223	0
224	0
225	0
226	2
227	1
228	1
229	0
230	0
231	0
232	0
233	0
234	1
235	0
236	3
237	1
238	0
239	0
240	0
241	1
242	0
243	0
244	0
245	1
246	1
247	0
248	2
249	0
250	1
251	1
252	1
253	0
254	0
255	0
256	0
257	0
258	1
259	0
260	1
261	0
262	1
263	1
264	0
265	2
266	0
267	2
268	1
269	0
270	0
271	0
272	1
273	0
274	0
275	1
276	0
277	0
278	1
279	0
280	2
281	0
282	1
283	0
284	0
285	0
286	1
287	2
288	0
289	1
290	1
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	1
299	2
300	0
301	1
302	0
303	0
304	0
305	0
306	0
307	0
308	1
309	2
310	1
311	0
312	0
313	1
314	1
315	3
316	0
317	0
318	0
319	0
320	0
321	0
322	2
323	1
324	0
325	0
326	2
327	0
328	1
329	1
330	0
331	0
332	0
333	1
334	0
335	0
336	0
337	0
338	0
339	0
340	1
341	1
342	0
343	0
344	0
345	0
346	1
347	2
348	0
349	0
350	0
351	1
352	0
353	2
354	1
355	0
356	0
357	0
358	0
359	0
360	2
361	0
362	1
363	1
364	4
365	0
366	0
367	0
368	1
369	1
370	1
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	1
380	0
381	2
382	0
383	0
384	1
385	1
386	0
387	1
388	0
389	1
390	1
391	0
392	1
393	1
394	0
395	1
396	0
397	1
398	0
399	1
400	0
