 Radioactive Decay Experiment Oct 12, 2018 3:30 PM
Sample Number	Number of Counts
1	57
2	56
3	51
4	58
5	53
6	50
7	45
8	38
9	41
10	59
11	66
12	50
13	52
14	52
15	58
16	45
17	53
18	52
19	46
20	53
21	58
22	57
23	44
24	51
25	58
26	51
27	50
28	49
29	53
30	74
31	48
32	51
33	57
34	53
35	55
36	51
37	44
38	55
39	51
40	56
41	55
42	58
43	54
44	53
45	58
46	48
47	50
48	53
49	43
50	54
51	59
52	46
53	51
54	50
55	46
56	46
57	41
58	63
59	55
60	47
61	50
62	55
63	46
64	58
65	39
66	56
67	53
68	59
69	56
70	43
71	51
72	54
73	60
74	45
75	41
76	39
77	54
78	61
79	44
80	69
81	56
82	63
83	49
84	55
85	48
86	42
87	63
88	57
89	48
90	56
91	50
92	59
93	51
94	42
95	53
96	53
97	63
98	64
99	45
100	47
101	69
102	61
103	43
104	68
105	55
106	59
107	55
108	60
109	56
110	49
111	60
112	47
113	59
114	49
115	52
116	52
117	60
118	51
119	60
120	61
121	64
122	62
123	49
124	55
125	58
126	49
127	67
128	53
129	48
130	45
131	43
132	58
133	53
134	54
135	51
136	51
137	61
138	58
139	51
140	44
141	48
142	60
143	56
144	50
145	53
146	54
147	49
148	51
149	52
150	50
151	46
152	53
153	38
154	57
155	43
156	62
157	55
158	53
159	53
160	49
161	63
162	46
163	60
164	53
165	45
166	53
167	44
168	65
169	68
170	57
171	50
172	46
173	61
174	50
175	45
176	48
177	56
178	44
179	48
180	40
181	57
182	42
183	54
184	42
185	52
186	46
187	54
188	51
189	59
190	64
191	45
192	43
193	63
194	51
195	56
196	53
197	58
198	55
199	49
200	49
201	45
202	40
203	42
204	49
205	43
206	44
207	54
208	55
209	60
210	48
211	49
212	55
213	66
214	44
215	58
216	43
217	60
218	54
219	55
220	50
221	48
222	55
223	59
224	56
225	53
226	52
227	49
228	46
229	46
230	40
231	64
232	56
233	50
234	58
235	48
236	52
237	63
238	45
239	55
240	53
241	50
242	55
243	36
244	40
245	57
246	52
247	62
248	47
249	49
250	35
251	58
252	54
253	49
254	34
255	63
256	54
257	51
258	49
259	46
260	52
261	47
262	53
263	46
264	44
265	59
266	59
267	60
268	49
269	59
270	52
271	54
272	56
273	48
274	59
275	54
276	46
277	51
278	51
279	47
280	62
281	35
282	42
283	63
284	66
285	50
286	54
287	59
288	48
289	49
290	46
291	51
292	55
293	51
294	48
295	43
296	57
297	53
298	49
299	35
300	50
301	58
302	50
303	57
304	50
305	56
306	48
307	56
308	59
309	54
310	61
311	56
312	53
313	57
314	51
315	58
316	39
317	49
318	72
319	48
320	42
321	49
322	57
323	56
324	47
325	57
326	53
327	39
328	45
329	52
330	51
331	61
332	38
333	47
334	60
335	55
336	62
337	51
338	60
339	56
340	58
341	53
342	56
343	52
344	74
345	67
346	65
347	58
348	54
349	30
350	49
351	47
352	47
353	37
354	54
355	47
356	51
357	57
358	46
359	63
360	52
361	38
362	45
363	53
364	49
365	52
366	53
367	65
368	52
369	56
370	60
371	44
372	53
373	61
374	61
375	43
376	51
377	62
378	43
379	60
380	55
381	56
382	55
383	48
384	51
385	51
386	46
387	61
388	41
389	46
390	62
391	59
392	55
393	61
394	58
395	62
396	59
397	52
398	50
399	59
400	52
