Chart Recorder Data File Tue, Mar 22, 2022 9:56 AM
CH1 (V)  	CH2 (V)  
-0.281074219	0.001464844
-0.281074219	0.004394531
-0.281074219	0.002929687
-0.281074219	0.000976562
-0.281074219	0.002929687
-0.265458984	0.001953125
-0.281074219	0.004394531
-0.265458984	0.005859375
-0.281074219	0.002929687
-0.281074219	-0.001464844
-0.281074219	0.002929687
0.062460938	0.000488281
0.171767578	0.003417969
0.312304688	0.004882812
0.374765625	0.004394531
0.468457031	0.004394531
0.546533203	0.004882812
0.577763672	0.004882812
0.718300781	0.004394531
0.827607422	-0.001464844
0.843222656	0.005859375
0.858837891	0.001953125
0.890068359	0.006835937
0.983759766	0.001464844
1.030605469	0.011718750
1.124296875	0.002441406
1.217988281	0.008789062
1.264833984	0.003417969
1.342910156	0.009765625
1.374140625	-0.001953125
1.483447266	0.009277344
1.499062500	0.002441406
1.577138672	0.010253906
1.670830078	0.000488281
1.717675781	0.010253906
1.764521484	0.002441406
1.811367187	0.009277344
1.826982422	0.003906250
1.858212891	0.012695312
1.936289062	0.001953125
1.983134766	0.009277344
2.076826172	0.001953125
2.108056641	0.008300781
2.123671875	0.000976562
2.170517578	0.009277344
2.248593750	0.001953125
2.311054687	0.011718750
2.357900391	0.001953125
2.373515625	0.006835937
2.435976563	0.003417969
2.467207031	0.009277344
2.529667969	0.001953125
2.592128906	0.009277344
2.670205078	0.003417969
2.732666016	0.009765625
2.779511719	0.003417969
2.857587891	0.008789062
2.857587891	0.004394531
2.920048828	0.019042969
2.982509766	0.005371094
3.107431641	0.011718750
3.154277344	0.005859375
3.154277344	0.014160156
3.201123047	0.007324219
3.216738281	0.012207031
3.279199219	0.007812500
3.310429688	0.012695312
3.372890625	0.006835937
3.419736328	0.015625000
3.450966797	0.009277344
3.529042969	0.014648437
3.622734375	0.009765625
3.669580078	0.018554687
3.700810547	0.011718750
3.794501953	0.017089844
3.810117187	0.013183594
3.841347656	0.018066406
3.935039063	0.014160156
3.950654297	0.026855469
4.044345703	0.016113281
4.122421875	0.018554687
4.122421875	0.017578125
4.138037109	0.026367187
4.153652344	0.018066406
4.184882812	0.024902344
4.184882812	0.019042969
4.216113281	0.031250000
4.262958984	0.021972656
4.294189453	0.028320312
4.372265625	0.021484375
4.387880859	0.027343750
4.465957031	0.024902344
4.497187500	0.029296875
4.590878906	0.027832031
4.606494141	0.036132812
4.653339844	0.030761719
4.762646484	0.036621094
4.793876953	0.033203125
4.825107422	0.038085937
4.840722656	0.037109375
4.887568359	0.039550781
4.950029297	0.040039062
4.981259766	0.045898437
5.043720703	0.044921875
5.074951172	0.049316406
5.090566406	0.047363281
5.106181641	0.051757812
5.121796875	0.049804687
5.277949219	0.055664062
5.371640625	0.055664062
5.449716797	0.065917969
5.512177734	0.062500000
5.527792969	0.063964844
5.543408203	0.065917969
5.605869141	0.070800781
5.715175781	0.066894531
5.840097656	0.069335937
5.855712891	0.065429687
5.855712891	0.067382812
5.933789062	0.063476562
5.980634766	0.062011719
6.058710937	0.062988281
6.152402344	0.061035156
6.183632812	0.061035156
6.230478516	0.062011719
6.339785156	0.058105469
6.386630859	0.058593750
6.417861328	0.055664062
6.495937500	0.053710937
6.574013672	0.053710937
6.605244141	0.054199219
6.745781250	0.049316406
6.792626953	0.051269531
6.839472656	0.047851562
6.886318359	0.050781250
6.933164062	0.048828125
7.011240234	0.048339844
7.104931641	0.045898437
7.151777344	0.047363281
7.276699219	0.045898437
7.370390625	0.048828125
7.401621094	0.046386719
7.510927734	0.048828125
7.557773437	0.048828125
7.620234375	0.050781250
7.760771484	0.053710937
7.792001953	0.050292969
7.870078125	0.050781250
7.995000000	0.052734375
8.057460938	0.062011719
8.135537109	0.059082031
8.229228516	0.057617187
8.291689453	0.059570312
8.369765625	0.069824219
8.416611328	0.068847656
8.557148438	0.066894531
8.603994141	0.069335937
8.713300781	0.072265625
8.791376953	0.081054687
8.869453125	0.092285156
8.963144531	0.086914062
9.009990234	0.084960937
9.056835938	0.090820312
9.103681641	0.091308594
9.119296875	0.097656250
9.150527344	0.093750000
9.228603516	0.099121094
9.291064453	0.115722656
9.291064453	0.109375000
9.337910156	0.120605469
9.384755859	0.111816406
9.415986328	0.106933594
9.494062500	0.119628906
9.634599609	0.115722656
9.650214844	0.152343750
9.681445312	0.133300781
9.728291016	0.136718750
9.759521484	0.147460937
9.790751953	0.137207031
9.806367187	0.147460937
9.884443359	0.141113281
9.915673828	0.136230469
9.962519531	0.145996094
10.009365234	0.157226562
10.056210937	0.152832031
10.103056641	0.149902344
10.134287109	0.159667969
10.196748047	0.154296875
10.212363281	0.163574219
10.227978516	0.158691406
10.321669922	0.166992187
10.337285156	0.179687500
10.368515625	0.169921875
10.430976562	0.164062500
10.462207031	0.170898437
10.493437500	0.176757812
10.540283203	0.166992187
10.571513672	0.158691406
10.618359375	0.162597656
10.680820312	0.152343750
10.727666016	0.157226562
10.774511719	0.160156250
10.821357422	0.150878906
10.883818359	0.141601562
10.977509766	0.144042969
11.008740234	0.145996094
11.102431641	0.138183594
11.149277344	0.141113281
11.196123047	0.130371094
11.258583984	0.131835937
11.399121094	0.121582031
11.414736328	0.112792969
11.492812500	0.113769531
11.555273438	0.106445312
11.602119141	0.108886719
11.648964844	0.112304687
11.711425781	0.105468750
11.836347656	0.095703125
11.914423828	0.101562500
11.961269531	0.096679687
12.117421875	0.099121094
12.164267578	0.093261719
12.211113281	0.098632812
12.242343750	0.095214844
12.351650391	0.099121094
12.398496094	0.107421875
12.507802734	0.101074219
12.570263672	0.112792969
12.601494141	0.104003906
12.632724609	0.112304687
12.710800781	0.106933594
12.851337891	0.116699219
12.851337891	0.110839844
12.882568359	0.111328125
12.960644531	0.114257812
12.991875000	0.113769531
13.038720703	0.117187500
13.132412109	0.124511719
13.179257812	0.123046875
13.226103516	0.122070312
13.272949219	0.127441406
13.366640625	0.126953125
13.366640625	0.132812500
13.413486328	0.139648437
13.491562500	0.137695312
13.585253906	0.139648437
13.647714844	0.144531250
13.710175781	0.153320312
13.819482422	0.152343750
13.897558594	0.157714844
13.928789062	0.161132812
14.038095703	0.168945312
14.116171875	0.171386719
14.178632813	0.177246094
14.256708984	0.179687500
14.366015625	0.185546875
14.412861328	0.190429687
14.459707031	0.201660156
14.506552734	0.197753906
14.584628906	0.203613281
14.678320313	0.206542969
14.709550781	0.214843750
14.772011719	0.216308594
14.896933594	0.223144531
14.943779297	0.227539062
14.990625000	0.235351562
15.068701172	0.235839844
15.146777344	0.244628906
15.256083984	0.242187500
15.318544922	0.251464844
15.443466797	0.243164062
15.537158203	0.246093750
15.693310547	0.235351562
15.818232422	0.229980469
15.911923828	0.219726562
15.911923828	0.219238281
16.052460938	0.212890625
16.099306641	0.208984375
16.177382812	0.199218750
16.271074219	0.198242187
16.317919922	0.187011719
16.427226562	0.183593750
16.505302734	0.174804687
16.536533203	0.177246094
16.552148438	0.170410156
16.645839844	0.170898437
16.739531250	0.164062500
16.864453125	0.163085937
16.895683594	0.156738281
16.926914062	0.158203125
16.958144531	0.153808594
17.020605469	0.154785156
17.098681641	0.151855469
17.145527344	0.155273437
17.207988281	0.150390625
17.332910156	0.154785156
17.442216797	0.149902344
17.473447266	0.157714844
17.567138672	0.151855469
17.598369141	0.156250000
17.645214844	0.152832031
17.738906250	0.160644531
17.770136719	0.155273437
17.848212891	0.159667969
17.895058594	0.158691406
18.019980469	0.160156250
18.066826172	0.163085937
18.144902344	0.168457031
18.160517578	0.167968750
18.191748047	0.169921875
18.347900391	0.172851562
18.394746094	0.178710937
18.488437500	0.180175781
18.582128906	0.187988281
18.582128906	0.186523437
18.628974609	0.190917969
18.707050781	0.192382812
18.878818359	0.203125000
18.894433594	0.203125000
18.972509766	0.208496094
19.034970703	0.210937500
19.097431641	0.218261719
19.128662109	0.217773437
19.191123047	0.224609375
19.269199219	0.224609375
19.362890625	0.229003906
19.362890625	0.232421875
19.362890625	0.235839844
19.362890625	0.234863281
19.362890625	0.236816406
19.362890625	0.234375000
19.362890625	0.239746094
19.456582031	0.236328125
19.597119141	0.242675781
19.987500000	0.258300781
20.112421875	0.273437500
20.409111328	0.277832031
20.502802734	0.281738281
20.518417969	0.280761719
20.549648438	0.283691406
20.674570312	0.281738281
20.783876953	0.279296875
20.877568359	0.272949219
20.971259766	0.273437500
21.080566406	0.263183594
21.236718750	0.255859375
21.330410156	0.246093750
21.424101562	0.237792969
21.533408203	0.229980469
21.580253906	0.225585937
21.689560547	0.220703125
21.705175781	0.221679687
21.814482422	0.212402344
21.939404297	0.213378906
21.955019531	0.202636719
22.111171875	0.199218750
22.158017578	0.199218750
22.251708984	0.202636719
22.376630859	0.195800781
22.439091797	0.201171875
22.517167969	0.193359375
22.610859375	0.220703125
22.720166016	0.205078125
22.751396484	0.194335937
22.782626953	0.190917969
22.845087891	0.190429687
22.907548828	0.189941406
22.970009766	0.192871094
23.001240234	0.190917969
23.063701172	0.195800781
23.141777344	0.193847656
23.173007812	0.200683594
23.297929687	0.197753906
23.407236328	0.205566406
23.438466797	0.203613281
23.532158203	0.208984375
23.594619141	0.208984375
23.625849609	0.213378906
23.688310547	0.212890625
23.875693359	0.223144531
23.906923828	0.222656250
24.031845703	0.229492187
24.047460937	0.231933594
24.125537109	0.239746094
24.156767578	0.236816406
24.266074219	0.242675781
24.344150391	0.244140625
24.437841797	0.248535156
24.500302734	0.254394531
24.609609375	0.261230469
24.734531250	0.264160156
24.859453125	0.276855469
24.968759766	0.279296875
25.015605469	0.283691406
25.062451172	0.284667969
25.156142578	0.292968750
25.249833984	0.290527344
25.343525391	0.299316406
25.499677734	0.294433594
25.640214844	0.302734375
25.733906250	0.294921875
25.765136719	0.296386719
25.843212891	0.294433594
25.905673828	0.300292969
25.983750000	0.289550781
26.108671875	0.289550781
26.186748047	0.280273437
26.296054687	0.278808594
26.374130859	0.272460937
26.452207031	0.273437500
26.530283203	0.264160156
26.670820312	0.263183594
26.780126953	0.251953125
26.858203125	0.250976562
26.920664062	0.243164062
26.967509766	0.241699219
27.092431641	0.238281250
27.170507812	0.238281250
27.248583984	0.232910156
27.326660156	0.234375000
27.373505859	0.228027344
27.482812500	0.229003906
27.607734375	0.226074219
27.732656250	0.230468750
27.779501953	0.226562500
27.873193359	0.230468750
27.951269531	0.223632812
28.044960938	0.223632812
28.123037109	0.224121094
28.138652344	0.226562500
28.201113281	0.225097656
28.326035156	0.229980469
28.404111328	0.228027344
28.544648438	0.233886719
28.700800781	0.234375000
28.747646484	0.240722656
28.794492188	0.238281250
28.872568359	0.242187500
28.919414062	0.243164062
28.950644531	0.247070312
29.075566406	0.247558594
29.091181641	0.254882812
29.216103516	0.253417969
29.309794922	0.263671875
29.325410156	0.261230469
29.450332031	0.267578125
29.512792969	0.270019531
29.575253906	0.273925781
29.606484375	0.278320312
29.622099609	0.277832031
29.668945312	0.277832031
29.700175781	0.284179687
29.856328125	0.283691406
30.012480469	0.291015625
30.074941406	0.292480469
30.121787109	0.298828125
30.168632813	0.297851562
30.231093750	0.307617187
30.277939453	0.300292969
30.402861328	0.307128906
30.527783203	0.305664062
30.590244141	0.310546875
30.652705078	0.308105469
30.777626953	0.312011719
30.840087891	0.309082031
30.886933594	0.315429687
30.886933594	0.309570312
30.949394531	0.312500000
31.074316406	0.306640625
31.168007813	0.309570312
31.246083984	0.303710937
31.355390625	0.306152344
31.371005859	0.298828125
31.495927734	0.302734375
31.480312500	0.295898437
31.511542969	0.298339844
31.542773437	0.292968750
31.589619141	0.293457031
31.605234375	0.291503906
31.652080078	0.293457031
31.683310547	0.288085937
31.683310547	0.292968750
31.683310547	0.287597656
31.683310547	0.290527344
31.683310547	0.287597656
31.683310547	0.291015625
31.683310547	0.289550781
31.683310547	0.292480469
31.683310547	0.289062500
31.683310547	0.290039062
31.683310547	0.287109375
31.683310547	0.291503906
31.683310547	0.286621094
31.683310547	0.290527344
31.683310547	0.287109375
31.683310547	0.292480469
31.683310547	0.286621094
31.683310547	0.290039062
31.683310547	0.287109375
31.683310547	0.291015625
31.683310547	0.286621094
31.683310547	0.292968750
31.683310547	0.287597656
31.683310547	0.292968750
31.683310547	0.287109375
31.683310547	0.292480469
31.683310547	0.288085937
31.683310547	0.291503906
31.683310547	0.289550781
31.683310547	0.293457031
31.683310547	0.287109375
31.683310547	0.292968750
31.683310547	0.287597656
31.698925781	0.290527344
31.683310547	0.287109375
31.683310547	0.292968750
31.683310547	0.287109375
31.683310547	0.290039062
31.683310547	0.287109375
31.683310547	0.290039062
31.683310547	0.286621094
31.683310547	0.291503906
31.698925781	0.287109375
31.683310547	0.290039062
