Year,Month,Day,Mean Temp (C),Max Temp (C),Min Temp (C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
2018,1,31,-7,2,-15,0,1,1
2018,1,30,-11,-7,-15,0,0,0
2018,1,29,-4,-2,-7,0,5,5
2018,1,28,1,5,-3,0,0,0
2018,1,27,5,10,0,2,0,2
2018,1,26,2,6,-3,0,0,0
2018,1,25,-7,-3,-11,0,0,0
2018,1,24,-8,-5,-11,0,0,0
2018,1,23,1,7,-5,3,0,3
2018,1,22,2,2,1,14,0,14
2018,1,21,1,4,-2,1,0,1
2018,1,20,3,6,0,0,0,0
2018,1,19,-2,2,-6,0,0,0
2018,1,18,-7,-4,-9,0,0,0
2018,1,17,-10,-6,-14,0,0,0
2018,1,16,-7,-3,-10,0,2,1
2018,1,15,-8,-7,-9,0,4,4
2018,1,14,-12,-7,-17,0,0,0
2018,1,13,-14,-12,-17,0,0,0
2018,1,12,0,12,-13,10,3,14
2018,1,11,9,13,5,7,0,7
2018,1,10,1,7,-5,3,0,3
2018,1,9,-1,1,-3,0,0,0
2018,1,8,0,2,-3,1,4,4
2018,1,7,-12,-2,-21,0,0,0
2018,1,6,-20,-16,-24,0,0,0
2018,1,5,-19,-15,-23,0,0,0
2018,1,4,-15,-9,-21,0,0,0
2018,1,3,-10,-6,-14,0,0,0
2018,1,2,-11,-8,-13,0,1,1
2018,1,1,-15,-9,-21,0,0,0
